ros_time_sec,fx,fy,fz
1760630721.373169,0.043247387,0.003650560,-0.026648180
1760630721.375162,0.080793387,0.026077560,-0.017852180
1760630721.377288,0.043344387,-0.009560440,-0.019577180
1760630721.379195,0.042922387,0.008077560,-0.014078180
1760630721.381202,0.050481387,0.003650560,-0.011753180
1760630721.383197,0.035155387,0.019799560,-0.007194180
1760630721.385195,0.058429387,0.011391560,-0.027447180
1760630721.387195,0.149917387,-0.000110440,-0.039352180
1760630721.389216,0.065162387,0.024531560,-0.000011180
1760630721.391205,0.036102387,0.013405560,-0.036584180
1760630721.393193,0.043511387,-0.001284440,-0.029441180
1760630721.395233,0.043155387,-0.001291440,-0.019478180
1760630721.397219,0.035775387,0.016844560,-0.029666180
1760630721.399209,0.035883387,0.021420560,-0.031596180
1760630721.401218,0.073743387,0.000145560,-0.028732180
1760630721.403232,0.035823387,0.007561560,-0.038939180
1760630721.405222,0.050736387,0.017499560,-0.024154180
1760630721.407219,0.088423387,0.010514560,-0.012264180
1760630721.409218,0.028471387,0.012069560,-0.041133180
1760630721.411211,0.027445387,0.015761560,-0.004415180
1760630721.413206,0.027935387,0.020242560,-0.022216180
1760630721.415208,0.043296387,0.012253560,-0.031307180
1760630721.417230,0.058161387,0.007610560,-0.019644180
1760630721.419251,0.050705387,0.006910560,-0.024541180
1760630721.421352,0.058095387,0.020090560,-0.016236180
1760630721.423210,0.028032387,-0.000343440,-0.024484180
1760630721.425223,0.035761387,0.002696560,-0.026656180
1760630721.427214,0.065673387,0.030574560,-0.019996180
1760630721.429230,0.020477387,0.007633560,-0.023946180
1760630721.431216,0.112185387,-0.007526440,-0.043344180
1760630721.433229,0.050895387,-0.004551440,-0.026483180
1760630721.435235,0.020164387,-0.002012440,-0.024275180
1760630721.437272,0.058342387,0.016329560,-0.029636180
1760630721.439227,0.028053387,0.016545560,-0.019264180
1760630721.441232,0.027650387,0.016650560,-0.009652180
1760630721.443233,0.050432387,0.022502560,-0.019420180
1760630721.445236,0.050774387,0.003958560,-0.017306180
1760630721.447233,0.089102387,-0.005814440,-0.031631180
1760630721.449234,0.057939387,0.016258560,-0.010023180
1760630721.451253,0.027577387,0.015877560,-0.009748180
1760630721.453288,0.066460387,-0.014612440,-0.036747180
1760630721.455244,0.043273387,-0.009169440,-0.024021180
1760630721.457262,0.057966387,0.007796560,-0.009901180
1760630721.459245,0.050765387,0.007241560,-0.024317180
1760630721.461242,0.027955387,-0.000484440,-0.019946180
1760630721.463252,0.035240387,0.012476560,-0.012216180
